iter	Passed	Remaining
401	1435	2134
402	1438	2131
403	1442	2127
404	1445	2123
405	1449	2120
406	1452	2116
407	1456	2113
408	1459	2109
409	1463	2105
410	1467	2102
411	1470	2099
412	1474	2095
413	1477	2091
414	1481	2088
415	1485	2084
416	1488	2081
417	1491	2077
418	1495	2073
419	1499	2070
420	1502	2066
421	1506	2063
422	1510	2060
423	1514	2057
424	1518	2054
425	1521	2050
426	1525	2047
427	1529	2043
428	1533	2040
429	1536	2037
430	1540	2033
431	1544	2030
432	1547	2026
433	1551	2023
434	1555	2019
435	1558	2016
436	1562	2012
437	1565	2009
438	1569	2005
439	1573	2002
440	1576	1998
441	1580	1994
442	1583	1991
443	1587	1987
444	1591	1984
445	1594	1980
446	1598	1977
447	1601	1973
448	1605	1969
449	1608	1965
450	1611	1961
451	1615	1958
452	1619	1955
453	1622	1951
454	1625	1947
455	1629	1943
456	1633	1940
457	1636	1937
458	1640	1933
459	1644	1930
460	1648	1927
461	1652	1923
462	1655	1920
463	1658	1916
464	1662	1912
465	1666	1909
466	1670	1906
467	1673	1902
468	1677	1898
469	1680	1895
470	1684	1891
471	1687	1888
472	1691	1884
473	1694	1880
474	1698	1876
475	1701	1873
476	1705	1869
477	1708	1866
478	1712	1862
479	1715	1858
480	1719	1855
481	1723	1851
482	1726	1848
483	1730	1844
484	1733	1841
485	1737	1837
486	1740	1833
487	1744	1830
488	1748	1826
489	1751	1823
490	1755	1819
491	1758	1816
492	1762	1812
493	1766	1809
494	1770	1805
495	1773	1802
496	1777	1798
497	1780	1795
498	1784	1791
499	1787	1787
500	1791	1784
501	1794	1780
502	1798	1777
503	1802	1773
504	1805	1770
505	1809	1766
506	1812	1762
507	1816	1759
508	1819	1755
509	1823	1751
510	1827	1748
511	1830	1745
512	1834	1741
513	1837	1737
514	1841	1734
515	1845	1730
516	1848	1727
517	1852	1723
518	1855	1719
519	1859	1716
520	1862	1712
521	1866	1709
522	1870	1705
523	1873	1701
524	1877	1698
525	1881	1695
526	1884	1691
527	1888	1687
528	1891	1684
529	1895	1680
530	1898	1677
531	1902	1673
532	1905	1669
533	1909	1666
534	1913	1662
535	1916	1659
536	1920	1655
537	1923	1651
538	1927	1648
539	1930	1644
540	1934	1641
541	1937	1637
542	1941	1633
543	1945	1630
544	1948	1627
545	1952	1623
546	1955	1619
547	1959	1616
548	1962	1612
549	1966	1608
550	1969	1605
551	1973	1601
552	1977	1598
553	1980	1594
554	1984	1591
555	1988	1587
556	1991	1584
557	1995	1580
558	1999	1577
559	2002	1573
560	2005	1569
561	2009	1566
562	2013	1562
563	2016	1559
564	2020	1555
565	2023	1551
566	2027	1548
567	2031	1544
568	2034	1541
569	2038	1537
570	2042	1534
571	2045	1530
572	2049	1526
573	2052	1523
574	2055	1519
575	2059	1516
576	2063	1512
577	2066	1508
578	2070	1505
579	2073	1501
580	2077	1497
581	2080	1494
582	2084	1490
583	2087	1486
584	2091	1483
585	2094	1479
586	2098	1476
587	2101	1472
588	2105	1468
589	2108	1465
590	2112	1462
591	2116	1458
592	2119	1454
593	2123	1451
594	2126	1447
595	2130	1443
596	2133	1440
597	2137	1436
598	2141	1433
599	2144	1429
600	2148	1426
601	2151	1422
602	2154	1418
603	2158	1415
604	2162	1411
605	2165	1408
606	2169	1404
607	2172	1400
608	2176	1397
609	2179	1393
610	2183	1390
611	2186	1386
612	2190	1382
613	2194	1379
614	2197	1375
615	2201	1372
616	2204	1368
617	2208	1365
618	2211	1361
619	2215	1357
620	2219	1354
621	2223	1350
622	2226	1347
623	2230	1343
624	2233	1340
625	2237	1336
626	2240	1333
627	2244	1329
628	2248	1325
629	2251	1322
630	2255	1318
631	2258	1315
632	2262	1311
633	2265	1307
634	2268	1304
635	2272	1300
636	2276	1297
637	2279	1293
638	2282	1289
639	2286	1286
640	2290	1282
641	2293	1279
642	2297	1275
643	2300	1271
644	2304	1268
645	2307	1264
646	2311	1260
647	2314	1257
648	2317	1253
649	2321	1250
650	2325	1246
651	2328	1242
652	2332	1239
653	2336	1235
654	2339	1232
655	2343	1228
656	2347	1225
657	2350	1221
658	2354	1218
659	2357	1214
660	2361	1210
661	2364	1207
662	2368	1203
663	2371	1200
664	2375	1196
665	2379	1193
666	2382	1189
667	2386	1185
668	2389	1182
669	2393	1178
670	2396	1175
671	2400	1171
672	2404	1168
673	2407	1164
674	2411	1160
675	2414	1157
676	2418	1153
677	2421	1150
678	2425	1146
679	2428	1142
680	2432	1139
681	2436	1136
682	2440	1132
683	2443	1129
684	2447	1125
685	2451	1121
686	2454	1118
687	2458	1114
688	2461	1111
689	2465	1107
690	2469	1104
691	2472	1100
692	2476	1096
693	2479	1093
694	2483	1089
695	2486	1086
696	2490	1082
697	2493	1078
698	2497	1075
699	2501	1071
700	2504	1068
701	2508	1064
702	2512	1061
703	2515	1057
704	2519	1054
705	2522	1050
706	2525	1046
707	2529	1043
708	2533	1039
709	2537	1036
710	2540	1032
711	2544	1029
712	2547	1025
713	2551	1022
714	2555	1018
715	2559	1015
716	2562	1011
717	2566	1008
718	2570	1004
719	2573	1000
720	2577	997
721	2580	993
722	2584	990
723	2587	986
724	2591	982
725	2594	979
726	2598	975
727	2602	972
728	2605	968
729	2609	965
730	2612	961
731	2616	957
732	2619	954
733	2623	950
734	2626	947
735	2630	943
736	2634	939
737	2637	936
738	2641	932
739	2644	929
740	2648	925
741	2652	922
742	2656	918
743	2659	915
744	2663	911
745	2667	908
746	2670	904
747	2673	900
748	2677	897
749	2680	893
750	2684	890
751	2688	886
752	2691	882
753	2695	879
754	2698	875
755	2702	872
756	2705	868
757	2709	865
758	2712	861
759	2716	857
760	2720	854
761	2723	850
762	2727	847
763	2730	843
764	2734	840
765	2737	836
766	2741	832
767	2745	829
768	2749	825
769	2752	822
770	2756	818
771	2760	815
772	2764	811
773	2767	808
774	2771	804
775	2774	801
776	2778	797
777	2782	793
778	2785	790
779	2789	786
780	2792	783
781	2796	779
782	2799	775
783	2803	772
784	2806	768
785	2810	765
786	2813	761
787	2817	757
788	2820	754
789	2824	750
790	2827	747
791	2831	743
792	2835	740
793	2838	736
794	2841	732
795	2845	729
796	2849	725
797	2852	722
798	2856	718
799	2859	714
800	2862	711
801	2866	707
802	2869	704
803	2873	700
804	2876	696
805	2880	693
806	2884	689
807	2888	686
808	2891	682
809	2895	679
810	2898	675
811	2902	671
812	2905	668
813	2909	664
814	2912	661
815	2916	657
816	2919	653
817	2922	650
818	2926	646
819	2930	643
820	2933	639
821	2937	636
822	2940	632
823	2944	628
824	2948	625
825	2951	621
826	2955	618
827	2958	614
828	2962	611
829	2966	607
830	2969	603
831	2973	600
832	2976	596
833	2980	593
834	2983	589
835	2987	586
836	2990	582
837	2994	578
838	2997	575
839	3001	571
840	3004	568
841	3008	564
842	3011	560
843	3015	557
844	3019	553
845	3022	550
846	3026	546
847	3030	543
848	3033	539
849	3037	535
850	3040	532
851	3044	528
852	3047	525
853	3050	521
854	3054	518
855	3058	514
856	3061	510
857	3065	507
858	3069	503
859	3072	500
860	3076	496
861	3080	493
862	3083	489
863	3087	485
864	3090	482
865	3094	478
866	3098	475
867	3101	471
868	3104	468
869	3108	464
870	3112	460
871	3115	457
872	3119	453
873	3122	450
874	3126	446
875	3129	443
876	3133	439
877	3136	435
878	3140	432
879	3144	428
880	3147	425
881	3151	421
882	3154	418
883	3158	414
884	3161	410
885	3165	407
886	3168	403
887	3171	400
888	3175	396
889	3178	392
890	3182	389
891	3185	385
892	3189	382
893	3193	378
894	3196	375
895	3200	371
896	3203	367
897	3207	364
898	3211	360
899	3215	357
900	3218	353
901	3222	350
902	3226	346
903	3229	342
904	3233	339
905	3236	335
906	3240	332
907	3243	328
908	3247	325
909	3250	321
910	3254	317
911	3257	314
912	3261	310
913	3264	307
914	3268	303
915	3271	300
916	3275	296
917	3279	292
918	3282	289
919	3286	285
920	3290	282
921	3293	278
922	3296	275
923	3300	271
924	3303	267
925	3307	264
926	3311	260
927	3314	257
928	3318	253
929	3321	250
930	3325	246
931	3329	242
932	3332	239
933	3336	235
934	3340	232
935	3343	228
936	3347	225
937	3350	221
938	3354	217
939	3358	214
940	3361	210
941	3365	207
942	3368	203
943	3372	200
944	3375	196
945	3379	192
946	3382	189
947	3386	185
948	3389	182
949	3393	178
950	3396	175
951	3400	171
952	3404	167
953	3407	164
954	3411	160
955	3414	157
956	3418	153
957	3421	150
958	3425	146
959	3428	142
960	3431	139
961	3435	135
962	3439	132
963	3442	128
964	3446	124
965	3449	121
966	3453	117
967	3457	114
968	3460	110
969	3464	107
970	3467	103
971	3471	100
972	3474	96
973	3478	92
974	3481	89
975	3485	85
976	3489	82
977	3492	78
978	3495	74
979	3499	71
980	3503	67
981	3506	64
982	3510	60
983	3513	57
984	3516	53
985	3520	49
986	3524	46
987	3527	42
988	3531	39
989	3535	35
990	3539	32
991	3543	28
992	3547	25
993	3551	21
994	3555	17
995	3558	14
996	3562	10
997	3566	7
998	3569	3
999	3573	0
