iter	MultiClass
0	1.562101616
1	1.315281663
2	1.142931243
3	1.009005289
4	0.8961547568
5	0.8029164688
6	0.7257304526
7	0.6618425239
8	0.607737331
9	0.5580743608
10	0.5129862571
11	0.4738096674
12	0.438866551
13	0.4093300753
14	0.3809382644
15	0.3560838684
16	0.3332299362
17	0.3128498421
18	0.294366693
19	0.2773324006
20	0.2623895447
21	0.2471994612
22	0.234010192
23	0.2222595856
24	0.2116563251
25	0.2009996767
26	0.1918311613
27	0.1832427624
28	0.1755804803
29	0.1685323326
30	0.1613333986
31	0.1550980109
32	0.1490681703
33	0.1435488976
34	0.1376016046
35	0.1323567395
36	0.1281339533
37	0.1239623227
38	0.1198425992
39	0.1162419454
40	0.1125549463
41	0.1088146646
42	0.1058623915
43	0.1031217892
44	0.1003597776
45	0.09801436731
46	0.09536612725
47	0.09264770978
48	0.09015441593
49	0.0873660652
50	0.08541374677
51	0.08363853468
52	0.08184657567
53	0.08026377486
54	0.07871377141
55	0.07710673202
56	0.07526638007
57	0.07427623242
58	0.07294170216
59	0.0713382773
60	0.06999235827
61	0.06860547962
62	0.06728206151
63	0.06600240668
64	0.06471832396
65	0.06358006357
66	0.06224937322
67	0.06119680032
68	0.06018322458
69	0.05934810295
70	0.05880111014
71	0.05796669141
72	0.05714502367
73	0.05625229041
74	0.0554430612
75	0.05471993524
76	0.0536789174
77	0.05304235387
78	0.05257127267
79	0.05181932067
80	0.05130882225
81	0.05075146627
82	0.05003233107
83	0.04954548993
84	0.04880384941
85	0.04821171884
86	0.04770183425
87	0.04720809683
88	0.04668907292
89	0.04627361851
90	0.04587875552
91	0.04542121782
92	0.04487795064
93	0.04440678082
94	0.04381539726
95	0.04347152178
96	0.04323134546
97	0.04263145933
98	0.04216723366
99	0.04156580633
100	0.0411675073
101	0.04082680794
102	0.0404432353
103	0.04004621626
104	0.03970824182
105	0.03934947257
106	0.03898784529
107	0.03864874833
108	0.03825827349
109	0.03801483177
110	0.03773547417
111	0.0374533563
112	0.03718374325
113	0.03688362369
114	0.03655805208
115	0.0361702066
116	0.03592059039
117	0.03566332725
118	0.0353192614
119	0.03516196472
120	0.03482134689
121	0.03445871677
122	0.03413999184
123	0.03389915248
124	0.0335996064
125	0.03338043049
126	0.03315845916
127	0.03289951543
128	0.03269000037
129	0.03254423724
130	0.03219410879
131	0.03196234086
132	0.03181726644
133	0.03169610237
134	0.031482724
135	0.03129685632
136	0.03113056575
137	0.03088874519
138	0.03073702664
139	0.03055373935
140	0.03043250493
141	0.03015359357
142	0.02995934466
143	0.02980752897
144	0.02956221011
145	0.02938574512
146	0.02926628898
147	0.02911661034
148	0.02892082047
149	0.02872666446
150	0.02853356587
151	0.02841670833
152	0.02827469492
153	0.02805475851
154	0.02788676437
155	0.02763328947
156	0.02753193997
157	0.02740171329
158	0.02714070786
159	0.02701927282
160	0.02685567766
161	0.02668774704
162	0.02655394695
163	0.02641692607
164	0.02632022615
165	0.02618985951
166	0.02607445888
167	0.02598965823
168	0.02588818762
169	0.02572496918
170	0.02557579545
171	0.02540245186
172	0.02524328813
173	0.02507311402
174	0.02498764772
175	0.02489285366
176	0.02476933007
177	0.02452249996
178	0.02438285483
179	0.02419878292
180	0.02399931678
181	0.02387940871
182	0.02378507239
183	0.02368920744
184	0.02360220952
185	0.02349546456
186	0.02336857341
187	0.02326864424
188	0.02319871625
189	0.02308370043
190	0.02297842046
191	0.0229207103
192	0.02279752116
193	0.02268981293
194	0.02256138978
195	0.02245859057
196	0.02234156291
197	0.02226416503
198	0.02209787908
199	0.02198711591
200	0.02186651844
201	0.02165462713
202	0.02159045385
203	0.0215203565
204	0.02140539121
205	0.02125078683
206	0.02114727969
207	0.02104882655
208	0.02098543773
209	0.02087334167
210	0.02083475247
211	0.02078681784
212	0.02066170093
213	0.02060530243
214	0.02052657629
215	0.0204059291
216	0.02033275977
217	0.02023423747
218	0.02016076474
219	0.0200285394
220	0.01992566814
221	0.01987093366
222	0.01980159248
223	0.01973917588
224	0.01965472065
225	0.01960198994
226	0.01949809246
227	0.0194402234
228	0.01939411537
229	0.0193270999
230	0.01923910064
231	0.01918035882
232	0.0190580688
233	0.018946529
234	0.01889408802
235	0.01882850904
236	0.01877885626
237	0.01868892277
238	0.01864103416
239	0.01858181785
240	0.01847148719
241	0.01840043856
242	0.01834219517
243	0.01829623837
244	0.01821858581
245	0.0181272107
246	0.01805257534
247	0.01799846769
248	0.01796349222
249	0.01781530641
250	0.01776792254
251	0.0176692635
252	0.01760854399
253	0.0175446822
254	0.0174905363
255	0.01742440775
256	0.01734692911
257	0.01727621321
258	0.01723304961
259	0.01717566225
260	0.01710671969
261	0.01705358609
262	0.01698714678
263	0.01692105204
264	0.01689448816
265	0.01681124575
266	0.01676392716
267	0.01671436662
268	0.01663763717
269	0.01658228823
270	0.01652203231
271	0.01648826254
272	0.01643216036
273	0.01639531494
274	0.01633545335
275	0.01628889979
276	0.01622707901
277	0.01617259708
278	0.01612541364
279	0.0160950681
280	0.01602317066
281	0.0159178597
282	0.01587483403
283	0.01583673743
284	0.0157972159
285	0.01575757753
286	0.01569905229
287	0.01561365656
288	0.0155704888
289	0.01547341615
290	0.01542352509
291	0.01537354071
292	0.01531622133
293	0.01526316398
294	0.01522040466
295	0.01518697193
296	0.01513702944
297	0.01508682742
298	0.01501651865
299	0.01497790422
300	0.01493525885
301	0.01488470746
302	0.01482155173
303	0.01478830235
304	0.0147491527
305	0.01471292014
306	0.01464730805
307	0.01460293031
308	0.01453667341
309	0.01450237041
310	0.01447554524
311	0.01441731441
312	0.01435077063
313	0.01432022006
314	0.01430090171
315	0.01424471802
316	0.01417676877
317	0.01414647938
318	0.01409978485
319	0.01405604762
320	0.01401184149
321	0.01397439734
322	0.01392816626
323	0.01390612532
324	0.01385180121
325	0.01380450453
326	0.01375262816
327	0.01369107659
328	0.01366369004
329	0.0136150599
330	0.01359209673
331	0.0135587118
332	0.01350075259
333	0.0134728618
334	0.01343548763
335	0.01341429139
336	0.01338289112
337	0.01333838253
338	0.01328846501
339	0.01324626032
340	0.01321071632
341	0.01318062713
342	0.0131563141
343	0.01311361217
344	0.01307655999
345	0.01305080744
346	0.01301094491
347	0.01297416453
348	0.01292639548
349	0.01289171206
350	0.0128571268
351	0.01283110311
352	0.01279862759
353	0.01274988349
354	0.01271599352
355	0.01265401092
356	0.0126272693
357	0.0125864148
358	0.01255884478
359	0.01251218269
360	0.01247145839
361	0.01242576179
362	0.01238965716
363	0.01235355736
364	0.01232811063
365	0.01228805572
366	0.01224895128
367	0.01220292631
368	0.01218873985
369	0.0121710616
370	0.01213064912
371	0.01211139222
372	0.01208367182
373	0.01206561513
374	0.01202354407
375	0.01197666543
376	0.01196098274
377	0.01193936948
378	0.0119275385
379	0.01188626524
380	0.01183990488
381	0.01180799778
382	0.01178752844
383	0.01176080461
384	0.01174573268
385	0.01171740993
386	0.01167850573
387	0.01164396495
388	0.01162553404
389	0.01160542215
390	0.01159127395
391	0.01155004569
392	0.01151426198
393	0.01147845906
394	0.01141624027
395	0.01138015624
396	0.01135066246
397	0.0113036208
398	0.01128158746
399	0.01124829536
400	0.01121662516
401	0.01119702385
402	0.01117813953
403	0.01115960876
404	0.01112674548
405	0.01109741646
406	0.01108078388
407	0.01106545901
408	0.01104086124
409	0.01101756895
410	0.01097685313
411	0.01096583413
412	0.0109449114
413	0.0109235122
414	0.01088725493
415	0.01085805022
416	0.0108231382
417	0.01078750299
418	0.0107686555
419	0.01074116841
420	0.01071715694
421	0.01069337027
422	0.0106618823
423	0.0106401851
424	0.01061827819
425	0.01059710448
426	0.01057026575
427	0.0105450124
428	0.01051331299
429	0.01047248792
430	0.0104631252
431	0.01044164052
432	0.01040810427
433	0.01037536353
434	0.01036282107
435	0.01035113588
436	0.01032358704
437	0.01029368207
438	0.01026581868
439	0.01024890487
440	0.01021669603
441	0.01020120035
442	0.01018552804
443	0.01017033501
444	0.01015148167
445	0.0101306478
446	0.01010575359
447	0.01009081789
448	0.0100635401
449	0.01003413867
450	0.01001258254
451	0.009987352256
452	0.009974617807
453	0.009957915035
454	0.009938654008
455	0.00991744908
456	0.009894417461
457	0.009862048922
458	0.009848203012
459	0.009827340939
460	0.009811686025
461	0.009790318792
462	0.009766206452
463	0.009744714141
464	0.009732140882
465	0.009708420346
466	0.009671114213
467	0.009651862454
468	0.009633261071
469	0.009625654054
470	0.009606675991
471	0.00958856841
472	0.009577049217
473	0.009558572273
474	0.009539109612
475	0.009505663863
476	0.009481168496
477	0.009464754501
478	0.009436414382
479	0.00942052537
480	0.009405072569
481	0.009390113914
482	0.009366165814
483	0.00934758026
484	0.009318785461
485	0.009290883045
486	0.009281794914
